,T,W,SR,DSP,DRH,PanE,Index
375,0.3728110599078341,0.2342190016103059,0.3660649819494584,0.6538461538461542,0.42,0.3181818181818182,0.668315103310317
412,0.5571428571428573,0.3600644122383253,0.6504211793020456,0.4076923076923083,0.7588235294117647,0.3710743801652892,0.8422654942702023
74,0.5129032258064516,0.3256038647342996,0.7908543922984356,0.4384615384615374,0.6270588235294118,0.5033057851239671,0.3667692451472827
1359,0.5055299539170507,0.3006441223832528,0.2025270758122743,0.5615384615384625,0.8529411764705882,0.1727272727272727,0.7990990801334429
1134,0.4465437788018435,0.2056360708534621,0.4127557160048134,0.5923076923076916,0.6741176470588235,0.2322314049586777,0.5473988681822415
500,0.3580645161290322,0.298792270531401,0.4273164861612515,0.6230769230769251,0.711764705882353,0.2322314049586777,0.4473426832231677
825,0.571889400921659,0.3384057971014492,0.2632972322503008,0.4692307692307709,0.8341176470588235,0.1859504132231405,0.5894275803879826
195,0.5829493087557605,0.3270531400966183,0.7421179302045727,0.4076923076923083,0.6835294117647058,0.4636363636363637,0.816631431088728
1119,0.1995391705069124,0.4756038647342995,0.2747292418772563,0.1923076923076916,0.6741176470588235,0.2322314049586777,0.2938917268873215
616,0.2474654377880184,0.5192431561996779,0.2616125150421179,0.4692307692307709,0.5517647058823529,0.2983471074380165,0.4325972614584273
114,0.476036866359447,0.3501610305958132,0.8225030084235859,0.5615384615384625,0.5705882352941177,0.5363636363636364,0.2927293654458053
417,0.8336405529953919,0.3413848631239935,0.751624548736462,0.4692307692307709,0.1941176470588235,0.9,0.1372422759365395
601,0.5940092165898618,0.2723832528180354,0.2945848375451263,0.3461538461538458,0.6741176470588235,0.271900826446281,0.1564834623480866
969,0.3801843317972351,0.4190821256038647,0.4243080625752106,0.3769230769230749,0.5235294117647059,0.3842975206611571,0.2052649389215727
921,0.3506912442396314,0.1796296296296296,0.204933814681107,0.5307692307692291,0.3917647058823529,0.2454545454545454,0.3003147111338089
604,0.4944700460829493,0.4609500805152978,0.3571600481347774,0.5615384615384625,0.6458823529411765,0.3115702479338843,0.1882405152936388
1389,0.4870967741935484,0.3134460547504026,0.6206979542719615,0.4384615384615374,0.6835294117647058,0.3644628099173553,0.1091333064304561
89,0.4244239631336406,0.3175523349436393,0.1872442839951865,0.4384615384615374,0.6552941176470588,0.2388429752066116,0.5239658466943353
848,0.5350230414746545,0.4506441223832528,0.6174488567990373,0.3769230769230749,0.7400000000000001,0.3842975206611571,0.2299847751299338
1108,0.4797235023041475,0.2680354267310789,0.4563176895306859,0.5,0.3447058823529412,0.3975206611570249,0.3114564213288088
1388,0.5423963133640554,0.3464573268921095,0.8269554753309265,0.4384615384615374,0.6364705882352941,0.5297520661157025,0.1401562306999577
753,0.4870967741935484,0.2676328502415459,0.4854392298435619,0.5615384615384625,0.3258823529411765,0.443801652892562,0.3950057723419584
498,0.3949308755760369,0.1707729468599034,0.3754512635379061,0.5923076923076916,0.2976470588235294,0.3181818181818182,0.2682192903774197
1142,0.5866359447004609,0.3307568438003221,0.6592057761732851,0.3769230769230749,0.6835294117647058,0.4305785123966942,0.2733741890926138
1395,0.5129032258064516,0.3842995169082126,0.7634175691937425,0.4692307692307709,0.7305882352941176,0.443801652892562,0.8766274743709483
1150,0.3211981566820276,0.400805152979066,0.1406738868832731,0.4076923076923083,0.8905882352941177,0.1264462809917355,0.1585780648461376
1148,0.523963133640553,0.2863123993558776,0.1960288808664259,0.3769230769230749,0.8247058823529412,0.1661157024793388,0.2337157097091493
11,0.6308755760368665,0.314975845410628,0.6732851985559566,0.3769230769230749,0.7023529411764706,0.4305785123966942,0.7958449388952077
396,0.4023041474654377,0.3406602254428341,0.5604091456077016,0.6230769230769251,0.6364705882352941,0.3380165289256198,0.1750367226561086
284,0.531336405529954,0.3457326892109501,0.5385078219013236,0.3461538461538458,0.7494117647058823,0.3181818181818182,0.6427393240556898
690,0.4686635944700461,0.3483091787439614,0.7922984356197353,0.5,0.608235294117647,0.4966942148760331,0.330774515717361
1190,0.523963133640553,0.2859903381642512,0.5293622141997593,0.3461538461538458,0.7588235294117647,0.2983471074380165,0.5774294857234206
1360,0.5866359447004609,0.3805958132045088,0.670517448856799,0.5307692307692291,0.7211764705882353,0.4173553719008265,0.2509085796643033
689,0.3691244239631336,0.1660225442834138,0.2931407942238266,0.6230769230769251,0.4388235294117647,0.2454545454545454,0.3609847676598477
851,0.4317972350230415,0.2797101449275362,0.6795427196149217,0.5615384615384625,0.6835294117647058,0.3578512396694215,0.7591182814850137
159,0.5534562211981567,0.3123993558776167,0.7481347773766547,0.3769230769230749,0.711764705882353,0.4371900826446281,0.3570303701615445
895,0.4797235023041475,0.2822866344605475,0.7660649819494585,0.4692307692307709,0.6364705882352941,0.4371900826446281,0.6194070714804147
1151,0.3064516129032258,0.2489533011272142,0.5055354993983152,0.4076923076923083,0.7400000000000001,0.2256198347107438,0.1332926578486518
257,0.3691244239631336,0.3123993558776167,0.2762936221419976,0.5615384615384625,0.7494117647058823,0.1859504132231405,0.5958918553695912
335,0.5976958525345623,0.3659420289855072,0.4809867629362214,0.5307692307692291,0.6647058823529413,0.3776859504132231,0.135966332267987
1364,0.3359447004608294,0.3259259259259259,0.3158844765342961,0.4692307692307709,0.6364705882352941,0.2388429752066116,0.5776197399666455
515,0.2658986175115207,0.3061191626409018,0.529482551143201,0.6846153846153833,0.4576470588235294,0.3578512396694215,0.7773746388788749
1015,0.627188940092166,0.3197262479871176,0.7909747292418773,0.4076923076923083,0.6647058823529413,0.5165289256198347,0.3756494258157382
768,0.3838709677419355,0.3938003220611916,0.7411552346570398,0.5307692307692291,0.4858823529411765,0.5231404958677686,0.4867106932363656
1371,0.571889400921659,0.3916264090177134,0.6101083032490974,0.4384615384615374,0.6929411764705883,0.4041322314049587,0.5860814802435196
761,0.3838709677419355,0.3208534621578099,0.3604091456077015,0.5,0.7211764705882353,0.2388429752066116,0.6479008457255014
